decision logAST debtRatio debtRatio2 ProfibilityRatio VentureDummy underwriterRating logRevenue DebtPaymentDummy logMarket NASDAQ30dayReturn logNumIPOS
0 2.896243 0.3106153 -0.07886888 -0.07886888 0 4.5 3.30465 0 15.92572 -0.0263 2.70805
0 3.492834 0.1377093 0.04644004 0.06992938 0 8.88 3.060434 1 16.52356 0.0474 2.564949
0 4.880762 0.5805391 0.02549893 0.02549893 0 8.88 3.964938 1 17.00186 -0.0203 3.135494
0 5.060187 0.4438206 0.04583809 0.07394366 0 8.75 4.165828 1 17.66353 -0.0525 3.135494
0 5.65351 0.6866428 -0.00961194 -0.0961194 0 8.88 4.672829 1 17.88454 -0.1476 2.564949
0 5.288252 0.1879523 0.01970737 0.03289444 0 8.83 4.438537 1 18.40048 -0.0963 2.564949
0 3.000156 0.2305863 0.03359699 0.04972364 0 6.25 2.654665 1 16.21568 -0.052 2.564949
0 4.161692 0.4516516 -0.01659396 -0.01869741 0 8.75 4.187243 1 16.96825 -0.117 2.564949
0 5.567352 0.5380874 0.01927485 0.03570337 0 8.83 4.527133 1 17.70733 -0.1053 2.397895
0 4.338623 0.2140414 0.07921464 0.1320331 0 8.88 4.112839 1 17.47907 0.0084 2.197225
0 5.17795 0.2417169 -0.004353735 -0.006491126 0 8.75 3.129214 1 18.133 0.0424 2.197225
0 5.530797 0.1532148 -0.03024431 -0.03024431 0 8.83 4.046239 1 18.09218 0.0084 2.197225
0 5.74439 0.1977153 0.004080875 0.003657018 0 9 4.142897 1 18.41265 0.0602 2.079442
0 3.239031 0.003724176 0.07722765 0.1288957 0 7.88 3.005534 0 16.68341 0.001 3.091042
0 5.42839 0.8221296 -0.1038832 -0.1038832 0 9 4.000063 1 18.14097 0.0109 3.091042
0 5.145114 0.4075738 -0.01832847 -0.01832847 0 9 6.324527 1 17.63322 -0.0061 3.178054
0 6.22994 0.4169816 -0.02736915 -0.02736915 0 9 7.185785 1 18.48459 0.0314 2.484907
0 1.993520 0.4284579 0.05777524 0.04442616 0 8 1.210047 1 14.91412 -0.0342 3.135494
0 4.722571 0.4342104 0.03644949 0.03644949 0 8.75 5.176116 1 17.31655 0.0187 3.433987
0 7.412797 0.007001578 0.03014384 0.05031517 0 7.5 7.685896 0 19.96824 0.0166 3.433987
0 5.712204 0.3453363 -0.02007358 -0.02007358 0 8.75 6.53223 1 18.53846 -0.022 3.178054
0 3.438493 0.1670178 0.02428311 0.04017906 0 8.75 3.773979 1 16.61157 -0.0116 3.178054
